run,gold,Precision@5,Precision@10,Recall@10,MAP,nDCG@5,nDCG@10
BM25,topical,0.7000000000000001,0.4222222222222222,0.8423941798941799,0.7687455383387923,0.890916840484218,0.8842836281859616
TF-IDF,topical,0.7666666666666668,0.4833333333333334,0.9348544973544973,0.8860922146636433,0.9179916639661262,0.9310694251880961
BM25 + Social,topical,0.6111111111111112,0.3944444444444445,0.7873015873015874,0.6886631288317796,0.8287278089280342,0.8335543619892151
BM25,social,0.6333333333333333,0.5666666666666668,0.5728835978835979,0.3960866157162453,0.5894270660171479,0.6050556983078608
TF-IDF,social,0.5888888888888889,0.5722222222222223,0.5785473785473785,0.39293418564582583,0.5493544533860802,0.5931041577300692
BM25 + Social,social,0.8000000000000002,0.838888888888889,0.854441237774571,0.7147351713786898,0.7769839668393698,0.8616293896826854
BM25,combined,0.7222222222222223,0.4722222222222222,0.8493165784832452,0.7317814275916127,0.8306640233336494,0.8392004660428096
TF-IDF,combined,0.7,0.5,0.8989197530864198,0.7909984322947285,0.8354223394850451,0.8781463285083518
BM25 + Social,combined,0.6777777777777778,0.46666666666666656,0.844753086419753,0.7411164388594944,0.8276040347458559,0.8511165399471912
